Date,Description,Amount
"2026-03-02","WOOLWORTHS SWAKOPMUND","-289.75"
"2026-01-27","WOOLWORTHS SWAKOPMUND","-1238.31"
"2026-01-26","WOOLWORTHS SWAKOPMUND","-50.95"
"2026-01-21","WOOLWORTHS SWAKOPMUND","-871.5"
"2026-01-20","WOOLWORTHS SWAKOPMUND","-393.7"
"2026-01-14","WOOLWORTHS SWAKOPMUND","-259.15"
"2026-01-12","WOOLWORTHS SWAKOPMUND","-284.37"
"2026-01-11","WOOLWORTHS SWAKOPMUND","-169"
"2026-01-11","WOOLWORTHS SWAKOPMUND","-343.25"
"2026-01-08","WOOLWORTHS SWAKOPMUND","-228.75"
"2026-01-08","WOOLWORTHS SWAKOPMUND","-1534.62"
"2026-01-06","WOOLWORTHS SWAKOPMUND","-353.75"
"","TOTAL","-6017.10"
