Date,Description,Amount
"2026-03-02","SUPERSPAR SWAKOPMUND","-487.3"
"2026-01-31","SUPERSPAR SWAKOPMUND","-2040"
"2026-01-27","SUPERSPAR SWAKOPMUND","-263"
"2026-01-27","SUPERSPAR SWAKOPMUND","-90.35"
"2026-01-26","SUPERSPAR SWAKOPMUND","-298.5"
"2026-01-22","SUPERSPAR SWAKOPMUND","-101"
"2026-01-22","SUPERSPAR SWAKOPMUND","-40.42"
"2026-01-16","SUPERSPAR SWAKOPMUND","-161"
"2026-01-15","SUPERSPAR SWAKOPMUND","-247.48"
"2026-01-14","SUPERSPAR SWAKOPMUND","-153.8"
"2026-01-12","SUPERSPAR SWAKOPMUND","-126.79"
"2026-01-09","SUPERSPAR SWAKOPMUND","-79"
"2026-01-08","SUPERSPAR SWAKOPMUND","-211.3"
"2026-01-06","SUPERSPAR SWAKOPMUND","-563.98"
"2026-01-06","SUPERSPAR SWAKOPMUND","-617.47"
"2026-01-05","SUPERSPAR SWAKOPMUND","-212.5"
"","TOTAL","-5693.89"
